URL	Tiêu đề_trang	Section	Mục đích	Nội dung chi tiết	Nguồn hình ảnh	Cột 1	Cột 2	Cột 3	Cột 4	Cột 5	Cột 6	Cột 7	Cột 8	Cột 9	Cột 10	Cột 11	Cột 12	Cột 13	Cột 14	Cột 15	Cột 16	Cột 17	Cột 18	Cột 19	Cột 20
/san-pham/coenzyme-q10		Trang Sản phẩm	Cung cấp thông tin về vai trò của CoQ10 trong tế bào và ứng dụng y khoa.	['CoQ10 hỗ trợ sản xuất ATP tại ty thể – nguồn năng lượng sống.', 'Giúp tăng sức bền tim mạch, phục hồi sau vận động, giảm mệt mỏi.', 'Có hiệu quả chống oxy hóa cao, giúp chậm lão hóa da và tế bào.', 'Liều dùng truyền: 100–300mg/lần, theo chỉ định y tế.', 'Lưu ý tương tác với thuốc tim mạch (warfarin, hạ huyết áp).']	Minh họa sản phẩm																				
/thu-vien-kien-thuc/nad-la-gi		Trang Kiến thức	Giải thích rõ về NAD+, NADH và ứng dụng y tế liên quan đến lão hóa và năng lượng tế bào.	['NAD+ là viết tắt của Nicotinamide Adenine Dinucleotide – coenzyme thiết yếu trong quá trình sống.', 'NAD+ tham gia vào chu trình sản xuất năng lượng, sửa chữa DNA và điều hòa gen.', 'Sự suy giảm NAD+ liên quan đến lão hóa, stress oxy hóa và bệnh thần kinh.', 'NAD+ có thể được bổ sung qua đường ăn uống (niacin, NMN) hoặc truyền tĩnh mạch.', 'So sánh NAD+ và NADH: NAD+ là dạng oxy hóa – NADH là dạng khử, mỗi loại có vai trò khác nhau trong tế bào.']	Minh họa sản phẩm																				
/thu-vien-kien-thuc/vitamin-c-lieu-cao		Trang Kiến thức	Tăng nhận thức đúng đắn về truyền vitamin C liều cao và các ứng dụng lâm sàng.	['Vitamin C là chất chống oxy hóa mạnh, hỗ trợ miễn dịch, tăng hấp thụ sắt và collagen.', 'Truyền liều cao (5–20g/lần) giúp cải thiện miễn dịch, đặc biệt ở người suy nhược, ung thư.', 'Cảnh báo: liều cao có thể gây tiêu chảy, sỏi thận hoặc ảnh hưởng người thiếu men G6PD.', 'Thường dùng phối hợp trong liệu trình phục hồi tổng thể, đặc biệt kết hợp Glutathione.']	Minh họa sản phẩm																				
/thu-vien-kien-thuc/exosome-te-bao-goc		Trang Kiến thức	Giới thiệu về exosome và tế bào gốc trong tái tạo mô, làm đẹp và phục hồi chức năng.	['Tế bào gốc có khả năng biệt hóa và kích thích phục hồi tổn thương tế bào.', 'Exosome là túi vi nang chứa tín hiệu sinh học được tiết ra từ tế bào gốc.', 'Ứng dụng: trẻ hóa da, tái tạo tóc, phục hồi xương khớp, tổn thương thần kinh.', 'Exosome thường được dùng dạng bôi, tiêm nội mô hoặc truyền tĩnh mạch.', 'Cần chọn nguồn gốc uy tín và được kiểm định để đảm bảo an toàn.']	Minh họa sản phẩm																				
/lieu-trinh/nad-plus		Trang Liệu trình	Giúp khách hàng hiểu công dụng, quy trình và lý do nên chọn liệu trình NAD+ IV.	['Liệu trình sử dụng NAD+ hoặc NADH truyền tĩnh mạch để phục hồi mức NAD nội sinh bị suy giảm.', 'Công dụng: cải thiện năng lượng tế bào, nâng cao sự tập trung, cải thiện giấc ngủ, chống lão hóa.', 'Phù hợp cho người: suy nhược cơ thể, rối loạn giấc ngủ, áp lực thần kinh cao, người lớn tuổi.', 'Liệu trình: 250–500mg NAD+, 45–90 phút truyền, có thể kết hợp B12, vitamin nhóm B hoặc Glutathione.', 'Kết quả thường cảm nhận sau 1–2 buổi: tỉnh táo, phục hồi sức lực, da sáng nhẹ.']	Minh họa sản phẩm																				
/lieu-trinh/detox-ruou-tao-nang-luong		Trang Liệu trình	Tập trung vào phục hồi sau khi uống rượu bia hoặc mệt mỏi thần kinh kéo dài.	['Giúp giải độc gan, chống buồn nôn, làm tỉnh táo và giảm mệt sau uống rượu.', 'Thành phần: Glutathione, Taurine, B12, Famotidine, Ondansetron.', 'Tác dụng: giảm áp lực gan, giảm nhức đầu chóng mặt, hồi phục thần kinh sau stress.', 'Thời gian truyền: 45 phút – hiệu quả cảm nhận rõ trong 1–3 giờ sau truyền.', 'Thường dùng: trước/sau các dịp tiệc tùng, thức khuya, kiệt sức tinh thần.']	Minh họa liệu trình																				
/lieu-trinh/trang-da-glutathione		Trang Liệu trình	Tối ưu da sáng khỏe, ngừa oxy hóa và hỗ trợ chống lão hóa nội sinh.	['Thành phần: Glutathione, Vitamin C liều cao, Biotin, ALA.', 'Tác dụng: sáng da tự nhiên, hỗ trợ giảm nám, làm đều màu da, bảo vệ gan.', 'Phác đồ: 1–2 buổi/tuần trong 4–6 tuần để đạt hiệu quả rõ rệt.', 'Kết hợp ăn uống + tránh nắng giúp duy trì hiệu quả lâu dài.', 'Thường dùng bởi người da sạm, stress lâu ngày, người làm đẹp chuyên sâu.']	Minh họa liệu trình																				
/lien-he		Trang tĩnh	Tạo điểm kết nối hỗ trợ, phản hồi và tư vấn khách hàng.	["Tiêu đề phụ: 'Luôn sẵn sàng hỗ trợ bạn – Dù ở Việt Nam hay Hoa Kỳ'", 'Thông tin liên hệ chính thức:', '- Hotline Việt Nam: +84 0935 671 717', '- Hotline USA: +1 4255 337798', '- Email: founder@maxwellnessus.com', '- Website: www.maxwellnessus.com', '- Zalo/FB: Gắn biểu tượng + nút mở chat', 'Kèm bản đồ (nếu có cơ sở thực tế), hoặc mô phỏng bản đồ dịch vụ']																					
/tu-van		Trang tĩnh	Thu thập khách hàng tiềm năng – điều hướng sang liệu trình phù hợp.	["Tiêu đề phụ: 'Bạn cần gì? Chúng tôi có giải pháp phù hợp.'", 'Form gồm các trường:', '- Họ và tên khách hàng', '- Số điện thoại / Zalo', '- Chọn mục tiêu: Trẻ hóa – Làm đẹp – Tăng đề kháng – Detox – Tế bào gốc', '- Thêm trường ghi chú (nếu muốn)', 'Nút gửi: [Nhận tư vấn ngay]', 'Sau khi gửi: Thông báo xác nhận + tự động gửi thông tin về Zalo/Email quản trị']	nền gradient nhẹ hoặc đường cong pastel																				
/gioi-thieu		Trang tĩnh	Tạo sự uy tín và khác biệt cho thương hiệu – trình bày lý do nên chọn.	['Max Wellness là thương hiệu hợp tác y khoa quốc tế với đội ngũ bác sĩ, dược sĩ tại Mỹ.', 'Tầm nhìn: Hỗ trợ chăm sóc sức khỏe chuyên sâu bằng phương pháp IV và công nghệ sinh học.', 'Giá trị cốt lõi:', '- Chính trực trong y khoa', '- Cá nhân hóa liệu trình theo nhu cầu khách', '- An toàn – hiệu quả – khoa học – hiện đại', 'Lý do chọn chúng tôi:', '- Liệu trình có chứng nhận FDA – an toàn tuyệt đối', '- Hiệu quả nhanh, cảm nhận rõ trong 24–48h', '- Đội ngũ tư vấn chuyên sâu, theo dõi tiến độ theo buổi', "Thông điệp: 'Sức khỏe là khoản đầu tư thông minh nhất trong cuộc đời mỗi người.'"]	Ảnh phòng lab, Logo, chứng nhận																				
